#           k/h    P           
    0.10000E-03    0.27714E+03
    0.10202E-03    0.28258E+03
    0.10408E-03    0.28813E+03
    0.10618E-03    0.29378E+03
    0.10833E-03    0.29954E+03
    0.11052E-03    0.30542E+03
    0.11275E-03    0.31141E+03
    0.11503E-03    0.31752E+03
    0.11735E-03    0.32375E+03
    0.11972E-03    0.33010E+03
    0.12214E-03    0.33658E+03
    0.12461E-03    0.34318E+03
    0.12712E-03    0.34991E+03
    0.12969E-03    0.35678E+03
    0.13231E-03    0.36377E+03
    0.13499E-03    0.37091E+03
    0.13771E-03    0.37818E+03
    0.14049E-03    0.38560E+03
    0.14333E-03    0.39316E+03
    0.14623E-03    0.40087E+03
    0.14918E-03    0.40874E+03
    0.15220E-03    0.41675E+03
    0.15527E-03    0.42492E+03
    0.15841E-03    0.43326E+03
    0.16161E-03    0.44175E+03
    0.16487E-03    0.45041E+03
    0.16820E-03    0.45924E+03
    0.17160E-03    0.46825E+03
    0.17507E-03    0.47743E+03
    0.17860E-03    0.48679E+03
    0.18221E-03    0.49633E+03
    0.18589E-03    0.50606E+03
    0.18965E-03    0.51597E+03
    0.19348E-03    0.52609E+03
    0.19739E-03    0.53640E+03
    0.20138E-03    0.54691E+03
    0.20544E-03    0.55762E+03
    0.20959E-03    0.56855E+03
    0.21383E-03    0.57969E+03
    0.21815E-03    0.59104E+03
    0.22255E-03    0.60262E+03
    0.22705E-03    0.61443E+03
    0.23164E-03    0.62646E+03
    0.23632E-03    0.63873E+03
    0.24109E-03    0.65123E+03
    0.24596E-03    0.66398E+03
    0.25093E-03    0.67698E+03
    0.25600E-03    0.69024E+03
    0.26117E-03    0.70375E+03
    0.26645E-03    0.71752E+03
    0.27183E-03    0.73156E+03
    0.27732E-03    0.74587E+03
    0.28292E-03    0.76046E+03
    0.28864E-03    0.77534E+03
    0.29447E-03    0.79050E+03
    0.30042E-03    0.80596E+03
    0.30649E-03    0.82172E+03
    0.31268E-03    0.83778E+03
    0.31899E-03    0.85416E+03
    0.32544E-03    0.87085E+03
    0.33201E-03    0.88787E+03
    0.33872E-03    0.90521E+03
    0.34556E-03    0.92289E+03
    0.35254E-03    0.94091E+03
    0.35966E-03    0.95928E+03
    0.36693E-03    0.97801E+03
    0.37434E-03    0.99709E+03
    0.38190E-03    0.10165E+04
    0.38962E-03    0.10364E+04
    0.39749E-03    0.10566E+04
    0.40552E-03    0.10772E+04
    0.41371E-03    0.10982E+04
    0.42207E-03    0.11196E+04
    0.43060E-03    0.11414E+04
    0.43929E-03    0.11636E+04
    0.44817E-03    0.11863E+04
    0.45722E-03    0.12094E+04
    0.46646E-03    0.12329E+04
    0.47588E-03    0.12569E+04
    0.48550E-03    0.12813E+04
    0.49530E-03    0.13062E+04
    0.50531E-03    0.13316E+04
    0.51552E-03    0.13574E+04
    0.52593E-03    0.13838E+04
    0.53656E-03    0.14106E+04
    0.54739E-03    0.14380E+04
    0.55845E-03    0.14659E+04
    0.56973E-03    0.14943E+04
    0.58124E-03    0.15232E+04
    0.59299E-03    0.15527E+04
    0.60496E-03    0.15828E+04
    0.61719E-03    0.16134E+04
    0.62965E-03    0.16446E+04
    0.64237E-03    0.16763E+04
    0.65535E-03    0.17087E+04
    0.66859E-03    0.17417E+04
    0.68210E-03    0.17753E+04
    0.69588E-03    0.18095E+04
    0.70993E-03    0.18443E+04
    0.72427E-03    0.18798E+04
    0.73891E-03    0.19160E+04
    0.75383E-03    0.19528E+04
    0.76906E-03    0.19903E+04
    0.78460E-03    0.20285E+04
    0.80045E-03    0.20673E+04
    0.81662E-03    0.21069E+04
    0.83311E-03    0.21473E+04
