#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.339485E-05   0.186654E+08   0.186654E+08   0.248859E+08   0.248859E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.238766E-02
   0.346343E-05   0.186654E+08   0.186654E+08   0.248858E+08   0.248858E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.243590E-02
   0.353340E-05   0.186654E+08   0.186654E+08   0.248857E+08   0.248857E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.248510E-02
   0.360478E-05   0.186654E+08   0.186654E+08   0.248857E+08   0.248857E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.253531E-02
   0.367760E-05   0.186654E+08   0.186654E+08   0.248856E+08   0.248856E+08   0.186656E+08   0.186654E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.258652E-02
   0.375189E-05   0.186654E+08   0.186654E+08   0.248856E+08   0.248855E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.263877E-02
   0.382769E-05   0.186654E+08   0.186654E+08   0.248855E+08   0.248855E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.269208E-02
   0.390501E-05   0.186654E+08   0.186654E+08   0.248854E+08   0.248854E+08   0.186656E+08   0.186654E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.274646E-02
   0.398390E-05   0.186654E+08   0.186654E+08   0.248853E+08   0.248853E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.280194E-02
   0.406438E-05   0.186654E+08   0.186654E+08   0.248853E+08   0.248852E+08   0.186656E+08   0.186654E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.285855E-02
   0.414648E-05   0.186654E+08   0.186654E+08   0.248852E+08   0.248852E+08   0.186656E+08   0.186655E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.291629E-02
   0.423025E-05   0.186654E+08   0.186654E+08   0.248851E+08   0.248851E+08   0.186656E+08   0.186654E+08   0.186654E+08   0.186706E+08  -0.490628E+00   0.107847E+08   0.107847E+08   0.297521E-02
